it,sol,rhsl1,rhsl2,rhslinf,dyl1,dyl2,dylinf,relerr
32,1,1.293922e+09,1.325054e+08,9.693642e+07,4.795996e+09,2.059461e+07,1.196238e+05,4.773944e-08
32,2,1.625135e+05,1.664931e+04,1.217910e+04,6.931733e+05,2.945600e+03,1.758275e+01,4.795996e-08
32,3,1.483200e+05,1.519727e+04,1.111675e+04,6.637968e+05,2.808183e+03,1.648477e+01,4.794096e-08
32,4,4.120049e+01,1.181838e+00,7.977627e-01,6.685700e+03,3.081893e+01,1.450138e+00,2.961873e-08
32,5,3.417431e+01,1.109769e+00,7.739943e-01,8.266612e+03,3.467871e+01,6.553343e-01,4.563037e-08
32,6,2.687959e+01,9.103934e-01,6.332564e-01,7.169756e+03,3.020404e+01,5.909099e-01,3.069144e-08
33,1,1.381488e+09,1.413490e+08,1.034341e+08,4.876788e+09,2.091352e+07,1.207552e+05,4.094902e-08
33,2,1.580107e+05,1.617405e+04,1.183462e+04,6.492231e+05,2.752960e+03,1.628188e+01,4.112506e-08
33,3,1.447187e+05,1.481547e+04,1.084039e+04,6.269456e+05,2.646839e+03,1.535361e+01,4.121671e-08
33,4,5.764074e+01,1.286225e+00,8.953177e-01,8.818817e+03,3.677947e+01,9.443719e-01,3.587171e-08
33,5,5.205409e+01,1.184303e+00,8.264597e-01,8.220944e+03,3.430815e+01,8.430875e-01,3.831528e-08
33,6,4.404135e+01,1.042429e+00,7.306628e-01,7.536954e+03,3.153288e+01,7.723331e-01,4.397824e-08
34,1,1.447468e+09,1.480640e+08,1.083808e+08,4.932250e+09,2.113252e+07,1.216955e+05,2.587825e-08
34,2,1.547519e+05,1.583692e+04,1.159145e+04,6.185608e+05,2.619237e+03,1.539231e+01,2.612632e-08
34,3,1.419421e+05,1.452790e+04,1.063322e+04,5.976324e+05,2.519575e+03,1.452120e+01,2.607803e-08
34,4,5.649161e+01,1.298677e+00,9.004193e-01,8.833514e+03,3.650165e+01,4.836016e-01,3.298209e-08
34,5,5.175698e+01,1.212366e+00,8.418421e-01,8.516345e+03,3.524627e+01,4.636860e-01,3.340301e-08
34,6,4.449982e+01,1.081123e+00,7.531609e-01,8.065012e+03,3.352734e+01,4.627065e-01,3.656589e-08
35,1,1.516614e+09,1.551162e+08,1.135659e+08,4.966084e+09,2.126456e+07,1.222741e+05,3.446692e-08
35,2,1.517786e+05,1.553089e+04,1.136974e+04,5.849330e+05,2.474569e+03,1.446583e+01,3.430740e-08
35,3,1.397482e+05,1.430168e+04,1.046976e+04,5.602509e+05,2.361984e+03,1.356350e+01,3.426985e-08
35,4,5.319306e+01,1.309228e+00,9.071655e-01,8.179510e+03,3.414669e+01,5.892745e-01,3.508238e-08
35,5,4.718082e+01,1.195520e+00,8.301390e-01,7.673726e+03,3.218055e+01,5.586819e-01,3.584706e-08
35,6,3.623072e+01,9.855082e-01,6.854733e-01,6.701944e+03,2.850304e+01,5.150729e-01,3.721092e-08
36,1,1.630809e+09,1.667983e+08,1.221574e+08,5.040764e+09,2.156071e+07,1.236632e+05,4.178078e-08
36,2,1.477804e+05,1.512227e+04,1.107409e+04,5.456206e+05,2.303705e+03,1.331171e+01,4.189041e-08
36,3,1.346615e+05,1.378173e+04,1.009231e+04,5.548274e+05,2.324503e+03,1.303138e+01,4.187768e-08
36,4,3.766787e+01,1.084065e+00,7.594711e-01,1.420937e+04,5.852010e+01,1.285642e+00,4.675873e-08
36,5,3.346728e+01,9.968727e-01,6.996854e-01,1.239508e+04,5.070857e+01,8.632054e-01,4.489379e-08
36,6,2.822802e+01,8.933602e-01,6.205156e-01,1.106076e+04,4.514022e+01,7.115923e-01,4.233673e-08
37,1,1.695345e+09,1.732978e+08,1.269295e+08,5.111383e+09,2.184087e+07,1.249736e+05,2.634634e-08
37,2,1.449761e+05,1.482680e+04,1.085874e+04,5.281399e+05,2.226184e+03,1.275365e+01,2.645673e-08
37,3,1.321561e+05,1.351750e+04,9.899740e+03,5.249250e+05,2.197317e+03,1.302941e+01,2.649463e-08
37,4,3.608404e+01,1.097883e+00,7.690136e-01,1.073951e+04,4.672530e+01,2.673447e+00,2.320540e-08
37,5,3.016541e+01,1.011831e+00,7.028357e-01,1.154170e+04,4.691271e+01,7.889615e-01,2.336922e-08
37,6,2.444699e+01,8.969555e-01,6.204629e-01,1.131684e+04,4.589339e+01,7.756471e-01,4.848823e-08
38,1,1.811700e+09,1.851235e+08,1.356106e+08,5.199379e+09,2.218425e+07,1.265147e+05,3.774081e-08
38,2,1.408488e+05,1.439950e+04,1.054730e+04,4.949104e+05,2.080767e+03,1.176520e+01,3.768407e-08
38,3,1.282894e+05,1.311724e+04,9.607961e+03,4.887610e+05,2.039690e+03,1.167299e+01,3.773163e-08
38,4,3.797890e+01,1.080260e+00,7.514181e-01,1.271315e+04,5.230960e+01,1.355172e+00,4.360751e-08
38,5,3.526324e+01,1.021901e+00,7.131751e-01,1.151403e+04,4.728156e+01,1.179132e+00,3.934599e-08
38,6,3.183977e+01,9.494773e-01,6.646210e-01,1.030411e+04,4.231778e+01,1.029474e+00,4.822998e-08
39,1,1.864462e+09,1.904882e+08,1.395505e+08,5.205682e+09,2.220717e+07,1.266273e+05,1.666758e-08
39,2,1.393098e+05,1.424027e+04,1.043140e+04,4.755552e+05,1.998994e+03,1.127684e+01,1.669552e-08
39,3,1.254587e+05,1.282567e+04,9.395088e+03,4.541906e+05,1.897310e+03,1.051462e+01,1.689910e-08
39,4,1.569907e+02,9.194403e+01,6.501203e+01,4.820857e+04,3.612433e+02,3.784968e+01,3.008387e-08
40,1,1.896033e+09,1.937142e+08,1.419166e+08,5.216783e+09,2.224913e+07,1.268074e+05,4.082103e-08
40,2,1.386560e+05,1.417348e+04,1.038268e+04,4.670940e+05,1.962593e+03,1.104738e+01,4.061829e-08
40,3,1.280062e+05,1.308638e+04,9.586252e+03,4.589553e+05,1.916476e+03,1.060286e+01,4.092467e-08
40,4,4.440112e+01,1.275588e+00,8.801426e-01,8.103105e+03,3.410510e+01,9.190131e-01,3.916415e-08
